time CL CT CH
303.025001526 7.93386716978e+13 8.06613585992e+13 1.60000030297e+14
304.025001526 7.88499628772e+13 8.11500689768e+13 1.60000031854e+14
305.025001526 7.83621127281e+13 8.16379183207e+13 1.60000031049e+14
306.025001526 7.78751676896e+13 8.21248639229e+13 1.60000031613e+14
307.025001526 7.73891701209e+13 8.26108608743e+13 1.60000030995e+14
308.025001526 7.69041637769e+13 8.30958670841e+13 1.60000030861e+14
309.025001526 7.6420191178e+13 8.3579840381e+13 1.60000031559e+14
310.025001526 7.59372945757e+13 8.40627365538e+13 1.6000003113e+14
311.025001526 7.5455515685e+13 8.45445161962e+13 1.60000031881e+14
312.025001526 7.49748955764e+13 8.5025136439e+13 1.60000032015e+14
313.025001526 7.4495474247e+13 8.55045571242e+13 1.60000031371e+14
314.025001526 7.4017292982e+13 8.59827382013e+13 1.60000031183e+14
315.025001526 7.35403911878e+13 8.64596400224e+13 1.6000003121e+14
316.025001526 7.30648077875e+13 8.6935224577e+13 1.60000032365e+14
317.025001526 7.25905811137e+13 8.74094504993e+13 1.60000031613e+14
318.025001526 7.2117749499e+13 8.78822822482e+13 1.60000031747e+14
319.025001526 7.16463498264e+13 8.8353681035e+13 1.60000030861e+14
320.025001526 7.11764203211e+13 8.88236112919e+13 1.60000031613e+14
321.025001526 7.07079963093e+13 8.92920358407e+13 1.6000003215e+14
322.025001526 7.02411140297e+13 8.97589169392e+13 1.60000030969e+14
323.025001526 6.97758088621e+13 9.02242224558e+13 1.60000031318e+14
324.025001526 6.9312115542e+13 9.06879159369e+13 1.60000031479e+14
325.025001526 6.8850067785e+13 9.11499640161e+13 1.60000031801e+14
326.025001526 6.83897000045e+13 9.16103314745e+13 1.60000031479e+14
327.025001526 6.79310450033e+13 9.20689865831e+13 1.60000031586e+14
328.024993896 6.74741359064e+13 9.25258958948e+13 1.60000031801e+14
329.024993896 6.70190040132e+13 9.29810269827e+13 1.60000030996e+14
330.024993896 6.65656812676e+13 9.34343500504e+13 1.60000031318e+14
331.024993896 6.61141992914e+13 9.38858330467e+13 1.60000032338e+14
332.024993896 6.56645874514e+13 9.43354451015e+13 1.60000032553e+14
333.024993896 6.52168762954e+13 9.47831555059e+13 1.60000031801e+14
334.024993896 6.47710955663e+13 9.52289360203e+13 1.60000031587e+14
335.024993896 6.43272742012e+13 9.56727568485e+13 1.6000003105e+14
336.024993896 6.38854407618e+13 9.61145905027e+13 1.60000031264e+14
337.024993896 6.34456234874e+13 9.65544090119e+13 1.60000032499e+14
338.024993896 6.3007849329e+13 9.69921820966e+13 1.60000031426e+14
339.024993896 6.25721464723e+13 9.74278854365e+13 1.60000031909e+14
340.024993896 6.21385404187e+13 9.78614904164e+13 1.60000030835e+14
341.024993896 6.17070593002e+13 9.82929721791e+13 1.60000031479e+14
342.024993896 6.12777268464e+13 9.87223045255e+13 1.60000031372e+14
343.024993896 6.08505698474e+13 9.91494613636e+13 1.60000031211e+14
344.024993896 6.04256137506e+13 9.95744177287e+13 1.60000031479e+14
345.024993896 6.00028822322e+13 9.99971495693e+13 1.60000031802e+14
346.024993896 5.95824000419e+13 1.00417632189e+14 1.60000032231e+14
347.024993896 5.91641906947e+13 1.00835840355e+14 1.6000003105e+14
348.024993896 5.87482789939e+13 1.01251752324e+14 1.60000031318e+14
349.024993896 5.8334687864e+13 1.01665344636e+14 1.600000325e+14
350.024993896 5.79234397998e+13 1.0207659227e+14 1.6000003207e+14
351.024993896 5.75145572963e+13 1.02485473324e+14 1.6000003062e+14
352.024993896 5.71080647811e+13 1.02891967504e+14 1.60000032285e+14
353.024993896 5.67039825478e+13 1.03296049307e+14 1.60000031855e+14
354.024993896 5.63023334673e+13 1.03697698281e+14 1.60000031748e+14
355.024993896 5.59031389069e+13 1.04096892841e+14 1.60000031748e+14
356.024993896 5.55064211468e+13 1.04493610977e+14 1.60000032124e+14
357.024993896 5.5112200964e+13 1.04887830945e+14 1.60000031909e+14
358.024993896 5.47205002089e+13 1.05279531861e+14 1.6000003207e+14
359.024993896 5.43313400345e+13 1.05668691821e+14 1.60000031855e+14
360.024993896 5.39447411638e+13 1.06055290745e+14 1.60000031909e+14
361.024993896 5.35607245349e+13 1.06439306998e+14 1.60000031533e+14
362.024993896 5.31793116763e+13 1.0682072034e+14 1.60000032017e+14
363.024993896 5.2800522989e+13 1.07199508491e+14 1.6000003148e+14
364.024993896 5.2424379089e+13 1.07575652981e+14 1.6000003207e+14
365.024993896 5.20509018268e+13 1.07949130082e+14 1.60000031909e+14
366.024993896 5.16801113351e+13 1.08319920843e+14 1.60000032178e+14
367.024993896 5.13120281761e+13 1.08688003733e+14 1.60000031909e+14
368.024993896 5.09466745763e+13 1.09053357494e+14 1.6000003207e+14
369.024993896 5.05840709366e+13 1.09415960597e+14 1.60000031533e+14
370.024993896 5.02242390542e+13 1.09775793553e+14 1.60000032607e+14
371.024993896 4.98671989005e+13 1.10132833224e+14 1.60000032124e+14
372.024993896 4.95129745275e+13 1.10487058456e+14 1.60000032983e+14
373.024993896 4.91615854771e+13 1.10838446808e+14 1.60000032285e+14
374.024993896 4.88130547812e+13 1.11186976752e+14 1.60000031534e+14
375.024993896 4.84674049347e+13 1.11532627082e+14 1.60000032017e+14
376.024993896 4.81246587009e+13 1.11875373638e+14 1.60000032339e+14
377.024993896 4.77848381451e+13 1.12215192905e+14 1.6000003105e+14
378.024993896 4.74479681782e+13 1.12552063946e+14 1.60000032124e+14
379.024993896 4.7114070973e+13 1.12885961151e+14 1.60000032124e+14
380.024993896 4.67831710645e+13 1.13216861221e+14 1.60000032285e+14
381.024993896 4.64552930413e+13 1.13544738976e+14 1.60000032017e+14
382.024993896 4.61304620827e+13 1.13869569773e+14 1.60000031856e+14
383.024993896 4.58087037437e+13 1.14191328327e+14 1.60000032071e+14
384.024993896 4.54900439016e+13 1.1450998833e+14 1.60000032232e+14
385.024993896 4.51745089166e+13 1.14825522671e+14 1.60000031588e+14
386.024993896 4.48621269478e+13 1.15137905687e+14 1.60000032634e+14
387.024993896 4.45529246238e+13 1.15447107689e+14 1.60000032312e+14
388.024993896 4.4246931392e+13 1.15753100813e+14 1.60000032205e+14
389.024993896 4.39441761898e+13 1.16055855693e+14 1.60000031883e+14
390.024993896 4.3644688572e+13 1.16355343284e+14 1.60000031856e+14
391.024993896 4.3348499677e+13 1.16651533414e+14 1.60000033091e+14
392.024993896 4.30556409923e+13 1.16944390757e+14 1.60000031749e+14
393.024993896 4.27661443812e+13 1.17233887072e+14 1.60000031454e+14
394.024993896 4.24800433982e+13 1.17519988646e+14 1.60000032044e+14
395.024993896 4.21973719734e+13 1.17802659776e+14 1.60000031749e+14
396.024993896 4.19181651914e+13 1.18081867068e+14 1.60000032259e+14
397.024993896 4.16424589421e+13 1.18357573639e+14 1.60000032581e+14
398.024993896 4.13702897594e+13 1.18629742768e+14 1.60000032528e+14
399.024993896 4.11016964055e+13 1.18898334995e+14 1.600000314e+14
400.024993896 4.0836717025e+13 1.19163315476e+14 1.60000032501e+14
401.024993896 4.05753921518e+13 1.19424639812e+14 1.60000031964e+14
402.024993896 4.03177628295e+13 1.19682269832e+14 1.60000032662e+14
403.024993896 4.00638716589e+13 1.19936160815e+14 1.60000032474e+14
404.024993896 3.98137619655e+13 1.20186269489e+14 1.60000031454e+14
405.024993896 3.95674783901e+13 1.2043255403e+14 1.60000032421e+14
406.024993896 3.93250670498e+13 1.20674964673e+14 1.60000031723e+14
407.024993896 3.908657578e+13 1.20913456802e+14 1.60000032582e+14
408.024993896 3.88520521742e+13 1.21147979951e+14 1.60000032125e+14
409.024993896 3.86215472351e+13 1.21378484837e+14 1.60000032072e+14
410.024993896 3.83951112407e+13 1.21604921261e+14 1.60000032501e+14
411.024993896 3.81727972607e+13 1.21827234945e+14 1.60000032206e+14
412.024993896 3.79546595996e+13 1.22045373224e+14 1.60000032824e+14
413.024993896 3.77407538235e+13 1.2225927849e+14 1.60000032314e+14
414.024993896 3.7531136975e+13 1.22468895553e+14 1.60000032529e+14
415.024993896 3.73258670361e+13 1.22674165949e+14 1.60000032985e+14
416.024993896 3.71250044049e+13 1.22875027829e+14 1.60000032233e+14
417.024993896 3.69286107408e+13 1.23071420956e+14 1.60000031697e+14
418.024993896 3.67367489921e+13 1.2326328198e+14 1.60000030972e+14
419.024993896 3.6549484308e+13 1.23450548194e+14 1.60000032502e+14
420.024993896 3.63668821063e+13 1.23633149859e+14 1.60000031965e+14
421.024993896 3.61890109722e+13 1.23811021691e+14 1.60000032663e+14
422.024993896 3.60159398399e+13 1.23984091481e+14 1.60000031321e+14
423.024993896 3.58477404085e+13 1.24152291584e+14 1.60000031992e+14
424.024993896 3.56844848068e+13 1.24315546622e+14 1.60000031429e+14
425.024993896 3.55262474985e+13 1.2447378444e+14 1.60000031939e+14
426.024993896 3.53731048806e+13 1.24626925958e+14 1.60000030839e+14
427.024993896 3.52251338328e+13 1.24774896818e+14 1.60000030651e+14
428.024993896 3.50824146175e+13 1.24917617188e+14 1.60000031805e+14
429.024993896 3.49450267183e+13 1.25055004228e+14 1.60000030946e+14
430.024993896 3.48130534576e+13 1.25186978536e+14 1.60000031993e+14
431.024993896 3.46865784531e+13 1.2531345303e+14 1.60000031483e+14
432.024993896 3.45656870672e+13 1.25434344014e+14 1.60000031081e+14
433.024993896 3.44504668367e+13 1.25549563869e+14 1.60000030705e+14
434.024993896 3.43410060501e+13 1.25659024924e+14 1.60000030974e+14
435.024993896 3.4237394848e+13 1.25762636448e+14 1.60000031296e+14
436.024993896 3.41397245253e+13 1.2586030567e+14 1.60000030196e+14
437.024993896 3.40480876385e+13 1.25951942504e+14 1.60000030142e+14
438.024993896 3.39625785964e+13 1.26037450633e+14 1.6000002923e+14
439.024993896 3.38832929083e+13 1.26116737395e+14 1.60000030304e+14
440.024993896 3.38103275868e+13 1.26189703844e+14 1.60000031431e+14
441.024993896 3.37437791076e+13 1.26256250337e+14 1.60000029445e+14
442.024993896 3.36837475702e+13 1.26316281794e+14 1.60000029365e+14
